18050624, b0:7f:b9:3e:f1:f1, "apzuzu6_EXT", -71
18050624, 92:5c:14:53:0d:d1, "UPC Wi-Free", -85
18050624, ce:50:e3:2e:85:7e, "apzuzu6_EXT3", -74
18050624, 38:2c:4a:4e:d3:d8, "apzuzu6", -73
18050624, 7a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Ariane", -87
18050624, ec:f4:51:ea:58:46, "mhj-86336", -92
18050624, 8a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Yasmine", -85
18050624, 3c:37:86:c6:7d:da, "apzuzu6_EXT2", -63
18050624, 78:d3:8d:fc:e9:a9, "RCProductions-EXT", -85
18050624, 90:5c:44:a8:34:97, "UPC17E648D", -91
18050624, 90:5c:44:ad:93:21, "UPCF2C6A3A", -80
18050624, 92:5c:14:ad:93:21, "UPC Wi-Free", -81
18050624, 90:5c:44:53:0d:d1, "UPC578B7A3", -85
18050628, b0:7f:b9:3e:f1:f1, "apzuzu6_EXT", -73
18050628, 3c:37:86:c6:7d:da, "apzuzu6_EXT2", -69
18050628, 38:43:7d:88:b7:fc, "UPC2203812", -90
18050628, ce:50:e3:2e:85:7e, "apzuzu6_EXT3", -71
18050628, 38:2c:4a:4e:d3:d8, "apzuzu6", -72
18050628, 7a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Ariane", -89
18050628, 92:5c:14:ad:93:21, "UPC Wi-Free", -83
18050628, 8a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Yasmine", -88
18050628, 90:5c:44:ad:93:21, "UPCF2C6A3A", -86
18050628, 78:d3:8d:fc:e9:a9, "RCProductions-EXT", -89
18050628, 90:5c:44:53:0d:d1, "UPC578B7A3", -84
18050632, b0:7f:b9:3e:f1:f1, "apzuzu6_EXT", -73
18050632, 3c:37:86:c6:7d:da, "apzuzu6_EXT2", -71
18050632, ce:50:e3:2e:85:7e, "apzuzu6_EXT3", -71
18050632, 38:2c:4a:4e:d3:d8, "apzuzu6", -73
18050632, 7a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Ariane", -86
18050632, 78:d3:8d:fc:e9:a9, "RCProductions-EXT", -87
18050632, 6e:b0:ce:f7:f0:f6, "UPC72E5C4E_EXT", -91
18050632, 8a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Yasmine", -87
18050632, e4:57:40:d4:7b:9b, "GafferNetwork", -86
18050632, 90:5c:44:ad:93:21, "UPCF2C6A3A", -85
18050632, 92:5c:14:ad:93:21, "UPC Wi-Free", -84
18050632, 90:5c:44:53:0d:d1, "UPC578B7A3", -85
18050636, 92:5c:14:a8:34:97, "UPC Wi-Free", -91
18050636, b0:7f:b9:3e:f1:f1, "apzuzu6_EXT", -73
18050636, 8a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Yasmine", -86
18050636, 38:43:7d:88:b7:fc, "UPC2203812", -88
18050636, ce:50:e3:2e:85:7e, "apzuzu6_EXT3", -79
18050636, 78:d3:8d:fc:e9:a9, "RCProductions-EXT", -86
18050636, 38:2c:4a:4e:d3:d8, "apzuzu6", -71
18050636, 7a:d3:8d:fc:e9:a9, "RCProductions-EXT pour Ariane", -87
18050636, 3a:43:1d:88:b7:fc, "UPC Wi-Free", -89
18050636, e4:57:40:d4:7b:9b, "GafferNetwork", -92
18050636, 3c:37:86:c6:7d:da, "apzuzu6_EXT2", -66
